Name,Director,Year,Rating,Rewatch,Tags,Watched Date
Twelve Monkeys,Terry Gilliam,1995,,,,1/12/15
Tyrannosaur,Paddy Considine,2011,3.5,,,11/17/21
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,4,,,11/18/21
Uncut Gems,"Josh Safdie, Benny Safdie",2019,,,,2/11/20
Uncut Gems,"Josh Safdie, Benny Safdie",2019,4.5,Yes,,4/15/21
Videodrome,David Cronenberg,1983,,,,5/3/21
Wayne's World,Penelope Spheeris,1992,,,,1/14/15
We Need to Talk About Kevin,Lynne Ramsay,2011,4,,,8/29/21
West Side Story,Steven Spielberg,2021,4,,,3/21/22
What We Do in the Shadows,"Taika Waititi, Jemaine Clement",2014,4.5,,,9/4/21
When Harry Met Sally...,Rob Reiner,1989,,,,12/26/15
Whiplash,Damien Chazelle,2014,5,,,2/21/15
Whiplash,Damien Chazelle,2014,5,Yes,,5/12/15
Whiplash,Damien Chazelle,2014,5,Yes,,3/14/21
Zola,Janicza Bravo,2020,3.5,,,9/23/21
Zombieland,Ruben Fleischer,2009,,,,3/13/15
